name,type,nanoV12,miniAOD,nanoV9,xs_framework,xs_framework_aux,xs_xsdb_link
ttw_lnu,HTT-reprocessed,TTWJetsToLNu,/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.2043,0.2043,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8
ttw_qq,HTT-reprocessed,TTWJetsToQQ,/TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,/TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.4062,0.4062,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8
ttww,HTT-reprocessed,TTWW,/TTWW_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,/TTWW_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.00698,0.00698,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=TTWW_TuneCP5_13TeV-madgraph-pythia8
ttwz,HTT-reprocessed,TTWZ,/TTWZ_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,/TTWZ_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.002441,0.002441,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=TTWZ_TuneCP5_13TeV-madgraph-pythia8
ttwh,HTT-reprocessed,TTWH,/TTWH_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/TTWH_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,0.00158,0.00158,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=TTWH_TuneCP5_13TeV-madgraph-pythia8
ttzh,HTT-reprocessed,TTZH,/TTZH_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/TTZH_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v2/NANOAODSIM,0.00154,0.00154,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=TTZH_TuneCP5_13TeV-madgraph-pythia8
ttz_llnunu,HTT-reprocessed,TTZToLLNuNu_M-10,/TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.2529,0.2529,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=TTZToLLNuNu_M-10_TuneCP5_13TeV-amcatnlo-pythia8
ttz_qq,HTT-reprocessed,TTZToQQ,/TTZToQQ_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,/TTZToQQ_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.5297,0.5297,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=TTZToQQ_TuneCP5_13TeV-amcatnlo-pythia8
ttzz,HTT-reprocessed,TTZZ,/TTZZ_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,/TTZZ_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.001386,0.001386,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=TTZZ_TuneCP5_13TeV-madgraph-pythia8
wminush_htt,HTT-reprocessed,WminusHToTauTau_M125,/WminusHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/WminusHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.0334,0.0334,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WminusHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8
wplush_htt,HTT-reprocessed,WplusHToTauTau_M125,/WplusHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/WplusHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.05268,0.05268,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=WplusHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8
tth_tautau,HTT-reprocessed,ttHToTauTau_M125,/ttHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v3/MINIAODSIM,/ttHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.031805,0.031805,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=ttHToTauTau_M125_TuneCP5_13TeV-powheg-pythia8
ggH_ZZ,HTT-reprocessed,ggHToZZTo2L2Q,/GluGluHToZZTo2L2Q_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,/GluGluHToZZTo2L2Q_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,28.87,28.87,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=GluGluHToZZTo2L2Q_M125_TuneCP5_13TeV_powheg2_JHUGenV7011_pythia8
ggf_sm,HTT-reprocessed,GluGluToHHTo2B2Tau_node_SM,/GluGluToHHTo2B2Tau_TuneCP5_PSWeights_node_SM_13TeV-madgraph-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,/GluGluToHHTo2B2Tau_TuneCP5_PSWeights_node_SM_13TeV-madgraph-pythia8/RunIISummer20UL18NanoAODv9-106X_upgrade2018_realistic_v16_L1v1-v1/NANOAODSIM,0.002268,0.002268,https://cms-gen-dev.cern.ch/xsdb/?searchQuery=DAS=GluGluToHHTo2B2Tau_TuneCP5_PSWeights_node_SM_13TeV-madgraph-pythia8
